LRU Name,Project,Division / Group,System,Part Number,Serial No,Received Data,Type of Test,Test Rig,Date of PI,Results & Remarks,Date of Clearance
DCMB GPRU,IJT,TD/Sagar,HYD,GCCAIA859,97 / 1610000001412024,Unit received for inspection,Calibration,LCA EPGS,24-04-2024,Under Review,
EPGS Controller,TEJAS,A/C Division,ELE,STM189,98 / 1610000002412024,Unit received for inspection,PI,IJT EPGS,28-01-2026,Under Review,
Hydraulic Pump Unit,ALH,Hydraulics,GEN,22460092,99 / 1610000003412024,Unit received for inspection,PI Starter,TEJAS Rig A,01-06-2025,OK,10-06-2025
"5RW GEN, DCMB GPRU",ALH,Engine Division,PNEU,GCCAIA877,100 / 1610000004412024,Unit received for inspection,Functional Test,IJT EPGS,11-10-2024,Pending,
DCMB GPRU,LCH,Avionics Group,AVIONICS,EPGS199,101 / 1610000005412024,Unit received for inspection,Functional Test,Engine Test Cell,20-02-2026,OK,22-02-2026
EPGS Controller,AMCA,Quality Assurance,AVIONICS,EPGS180,102 / 1610000006412024,Unit received for inspection,Functional Test,Hydraulic Test Bench,17-01-2026,OK,19-01-2026
DCMB GPRU,LCA,Quality Assurance,HYD,22460099,103 / 1610000007412024,Unit received for inspection,PI,TEJAS Rig A,22-12-2025,OK,02-01-2026
DCMB GPRU,IJT,ELE Group,PNEU,22460048,104 / 1610000008412024,Unit received for inspection,Calibration,Avionics Rig,09-04-2025,OK,15-04-2025
"5RW GEN, DCMB GPRU",MIG-21 Upgrade,ELE Group,HYD,STM750,105 / 1610000009412024,Unit received for inspection,PI Starter,TEJAS Rig A,14-03-2024,Under Review,
EPGS Controller,IJT,ELE Group,PNEU,AVN804,106 / 1610000010412024,Unit received for inspection,PI,IJT EPGS,03-10-2024,NOT OK,
Hydraulic Pump Unit,AMCA,TD/Sagar,GEN,22460073,107 / 1610000011412024,Unit received for inspection,Endurance Test,Avionics Rig,19-11-2024,OK,21-11-2024
EPGS Controller,AMCA,ELE Group,AVIONICS,AVN674,108 / 1610000012412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,26-05-2024,NOT OK,07-06-2024
5RW GEN,LCH,A/C Division,ELE,STM605,109 / 1610000013412024,Unit received for inspection,PI Starter,Avionics Rig,05-01-2025,NOT OK,14-01-2025
EPGS Controller,TEJAS,Hydraulics,PNEU,EPGS490,110 / 1610000014412024,Unit received for inspection,Acceptance Test,Engine Test Cell,27-11-2025,OK,29-11-2025
DCMB GPRU,LCH,ELE Group,PNEU,STM868,111 / 1610000015412024,Unit received for inspection,PI,AMCA Rig 1,27-11-2025,OK,08-12-2025
Hydraulic Pump Unit,AMCA,Hydraulics,HYD,AVN996,112 / 1610000016412024,Unit received for inspection,Acceptance Test,LCA EPGS,10-06-2024,NOT OK,
EPGS Controller,IJT,TD/Sagar,PNEU,AVN619,113 / 1610000017412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,01-11-2024,Under Review,
Starter Motor Assembly,LCA,A/C Division,PNEU,STM431,114 / 1610000018412024,Unit received for inspection,Functional Test,IJT EPGS,01-01-2024,Pending,
Hydraulic Pump Unit,TEJAS,Quality Assurance,ELE,GCCAIA187,115 / 1610000019412024,Unit received for inspection,Acceptance Test,Engine Test Cell,03-09-2024,OK,
EPGS Controller,LCH,Hydraulics,GEN,22460034,116 / 1610000020412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,11-05-2024,OK,20-05-2024
DCMB GPRU,TEJAS,ELE Group,PNEU,22460092,117 / 1610000021412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,07-12-2025,Under Review,
EPGS Controller,MIG-21 Upgrade,TD/Sagar,AVIONICS,HDP0003,118 / 1610000022412024,Unit received for inspection,PI Starter,LCA EPGS,03-05-2024,NOT OK,10-05-2024
DCMB GPRU,LCA,Hydraulics,HYD,GCCAIA132,119 / 1610000023412024,Unit received for inspection,Functional Test,Avionics Rig,25-12-2025,OK,29-12-2025
EPGS Controller,TEJAS,TD/Sagar,GEN,AVN684,120 / 1610000024412024,Unit received for inspection,Endurance Test,IJT EPGS,07-08-2024,NOT OK,
Starter Motor Assembly,LCH,ELE Group,ELE,EPGS520,121 / 1610000025412024,Unit received for inspection,Calibration,Avionics Rig,09-04-2024,OK,15-04-2024
Hydraulic Pump Unit,AMCA,Quality Assurance,ELE,GCCAIA512,122 / 1610000026412024,Unit received for inspection,PI Starter,IJT EPGS,10-04-2024,Under Review,
Starter Motor Assembly,IJT,Quality Assurance,ELE,22460036,123 / 1610000027412024,Unit received for inspection,Endurance Test,Engine Test Cell,03-07-2025,OK,10-07-2025
EPGS Controller,LCH,A/C Division,ELE,GCCAIA767,124 / 1610000028412024,Unit received for inspection,PI Starter,IJT EPGS,10-04-2024,Pending,
"5RW GEN, DCMB GPRU",TEJAS,A/C Division,GEN,EPGS160,125 / 1610000029412024,Unit received for inspection,Functional Test,Engine Test Cell,12-05-2025,NOT OK,
EPGS Controller,ALH,ELE Group,GEN,AVN902,126 / 1610000030412024,Unit received for inspection,PI Starter,IJT EPGS,19-10-2024,NOT OK,
EPGS Controller,LCA,ELE Group,PNEU,STM853,127 / 1610000031412024,Unit received for inspection,PI,LCA EPGS,10-08-2024,OK,
EPGS Controller,IJT,A/C Division,AVIONICS,STM973,128 / 1610000032412024,Unit received for inspection,PI,Engine Test Cell,03-05-2025,Pending,
5RW GEN,MIG-21 Upgrade,TD/Sagar,AVIONICS,22460052,129 / 1610000033412024,Unit received for inspection,Acceptance Test,LCA EPGS,11-03-2024,OK,22-03-2024
EPGS Controller,MIG-21 Upgrade,Hydraulics,PNEU,EPGS773,130 / 1610000034412024,Unit received for inspection,Functional Test,IJT EPGS,24-03-2024,Pending,
DCMB GPRU,TEJAS,TD/Sagar,PNEU,HDP0031,131 / 1610000035412024,Unit received for inspection,Endurance Test,AMCA Rig 1,03-01-2026,Under Review,
EPGS Controller,IJT,Hydraulics,PNEU,GCCAIA175,132 / 1610000036412024,Unit received for inspection,PI Starter,AMCA Rig 1,10-01-2024,OK,20-01-2024
EPGS Controller,ALH,Avionics Group,AVIONICS,EPGS953,133 / 1610000037412024,Unit received for inspection,Calibration,Hydraulic Test Bench,07-09-2024,OK,10-09-2024
"5RW GEN, DCMB GPRU",AMCA,A/C Division,ELE,AVN206,134 / 1610000038412024,Unit received for inspection,Calibration,Hydraulic Test Bench,14-11-2025,OK,19-11-2025
"5RW GEN, DCMB GPRU",ALH,ELE Group,PNEU,AVN451,135 / 1610000039412024,Unit received for inspection,Acceptance Test,TEJAS Rig A,05-10-2024,OK,09-10-2024
5RW GEN,AMCA,Quality Assurance,HYD,HDP0006,136 / 1610000040412024,Unit received for inspection,Calibration,AMCA Rig 1,22-02-2024,OK,29-02-2024
5RW GEN,LCA,A/C Division,HYD,EPGS674,137 / 1610000041412024,Unit received for inspection,Acceptance Test,LCA EPGS,29-01-2026,OK,10-02-2026
DCMB GPRU,AMCA,Quality Assurance,ELE,22460006,138 / 1610000042412024,Unit received for inspection,Functional Test,IJT EPGS,19-08-2025,OK,26-08-2025
DCMB GPRU,LCH,Hydraulics,GEN,AVN205,139 / 1610000043412024,Unit received for inspection,Acceptance Test,Avionics Rig,12-09-2024,Under Review,
5RW GEN,IJT,ELE Group,PNEU,22460053,140 / 1610000044412024,Unit received for inspection,Endurance Test,Engine Test Cell,30-08-2024,OK,
"5RW GEN, DCMB GPRU",LCH,ELE Group,ELE,22460035,141 / 1610000045412024,Unit received for inspection,Endurance Test,Engine Test Cell,22-01-2026,Under Review,
DCMB GPRU,LCH,Quality Assurance,HYD,EPGS458,142 / 1610000046412024,Unit received for inspection,PI Starter,LCA EPGS,26-04-2025,OK,10-05-2025
DCMB GPRU,LCH,A/C Division,PNEU,EPGS436,143 / 1610000047412024,Unit received for inspection,Functional Test,Avionics Rig,16-07-2024,Under Review,
EPGS Controller,AMCA,A/C Division,ELE,AVN963,144 / 1610000048412024,Unit received for inspection,Functional Test,IJT EPGS,13-02-2025,Pending,
EPGS Controller,TEJAS,Avionics Group,PNEU,GCCAIA211,145 / 1610000049412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,28-09-2024,Pending,
"5RW GEN, DCMB GPRU",AMCA,A/C Division,GEN,EPGS690,146 / 1610000050412024,Unit received for inspection,PI,Hydraulic Test Bench,28-04-2024,Pending,
Hydraulic Pump Unit,ALH,TD/Sagar,PNEU,AVN859,147 / 1610000051412024,Unit received for inspection,Endurance Test,LCA EPGS,04-12-2025,Pending,
Hydraulic Pump Unit,LCH,A/C Division,PNEU,STM421,148 / 1610000052412024,Unit received for inspection,Acceptance Test,AMCA Rig 1,04-12-2024,Under Review,
Hydraulic Pump Unit,AMCA,Hydraulics,HYD,HDP0052,149 / 1610000053412024,Unit received for inspection,PI Starter,TEJAS Rig A,22-02-2025,Under Review,
"5RW GEN, DCMB GPRU",MIG-21 Upgrade,Hydraulics,PNEU,AVN866,150 / 1610000054412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,23-01-2025,Under Review,
Hydraulic Pump Unit,AMCA,Engine Division,GEN,STM721,151 / 1610000055412024,Unit received for inspection,Endurance Test,Avionics Rig,07-11-2024,OK,14-11-2024
Hydraulic Pump Unit,LCA,Avionics Group,AVIONICS,AVN273,152 / 1610000056412024,Unit received for inspection,Calibration,Avionics Rig,07-06-2025,OK,20-06-2025
"5RW GEN, DCMB GPRU",ALH,Avionics Group,HYD,GCCAIA938,153 / 1610000057412024,Unit received for inspection,PI Starter,IJT EPGS,09-12-2024,Pending,
5RW GEN,TEJAS,Engine Division,AVIONICS,STM970,154 / 1610000058412024,Unit received for inspection,PI Starter,Avionics Rig,17-02-2024,OK,25-02-2024
"5RW GEN, DCMB GPRU",IJT,ELE Group,ELE,EPGS509,155 / 1610000059412024,Unit received for inspection,PI,Engine Test Cell,28-01-2025,Under Review,
5RW GEN,MIG-21 Upgrade,TD/Sagar,ELE,STM575,156 / 1610000060412024,Unit received for inspection,Endurance Test,IJT EPGS,12-08-2024,NOT OK,08-09-2024
DCMB GPRU,LCH,Engine Division,AVIONICS,STM709,157 / 1610000061412024,Unit received for inspection,Calibration,Hydraulic Test Bench,14-11-2025,NOT OK,
Starter Motor Assembly,TEJAS,Avionics Group,HYD,22460096,158 / 1610000062412024,Unit received for inspection,Calibration,AMCA Rig 1,15-07-2025,NOT OK,
DCMB GPRU,TEJAS,A/C Division,PNEU,AVN344,159 / 1610000063412024,Unit received for inspection,PI Starter,AMCA Rig 1,11-05-2025,Pending,
"5RW GEN, DCMB GPRU",IJT,Engine Division,HYD,GCCAIA241,160 / 1610000064412024,Unit received for inspection,Calibration,IJT EPGS,23-11-2024,OK,
5RW GEN,IJT,Quality Assurance,GEN,EPGS525,161 / 1610000065412024,Unit received for inspection,Endurance Test,Engine Test Cell,28-02-2025,OK,09-03-2025
EPGS Controller,TEJAS,Engine Division,ELE,GCCAIA977,162 / 1610000066412024,Unit received for inspection,Functional Test,AMCA Rig 1,13-12-2025,Pending,
EPGS Controller,IJT,Engine Division,HYD,AVN659,163 / 1610000067412024,Unit received for inspection,Functional Test,TEJAS Rig A,05-03-2025,NOT OK,
Starter Motor Assembly,ALH,TD/Sagar,GEN,AVN795,164 / 1610000068412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,30-01-2024,NOT OK,
EPGS Controller,ALH,A/C Division,ELE,EPGS706,165 / 1610000069412024,Unit received for inspection,Calibration,TEJAS Rig A,28-01-2024,Pending,
"5RW GEN, DCMB GPRU",TEJAS,Avionics Group,PNEU,EPGS435,166 / 1610000070412024,Unit received for inspection,Endurance Test,AMCA Rig 1,17-04-2025,OK,22-04-2025
Hydraulic Pump Unit,MIG-21 Upgrade,A/C Division,PNEU,EPGS119,167 / 1610000071412024,Unit received for inspection,PI Starter,Avionics Rig,15-09-2024,NOT OK,
5RW GEN,IJT,TD/Sagar,ELE,GCCAIA872,168 / 1610000072412024,Unit received for inspection,Acceptance Test,IJT EPGS,10-03-2026,OK,
Starter Motor Assembly,ALH,Avionics Group,PNEU,STM323,169 / 1610000073412024,Unit received for inspection,PI Starter,Hydraulic Test Bench,09-05-2024,OK,11-05-2024
"5RW GEN, DCMB GPRU",AMCA,A/C Division,AVIONICS,AVN217,170 / 1610000074412024,Unit received for inspection,PI,AMCA Rig 1,04-02-2026,Pending,
Hydraulic Pump Unit,IJT,A/C Division,AVIONICS,EPGS506,171 / 1610000075412024,Unit received for inspection,Calibration,Engine Test Cell,24-11-2025,Pending,
DCMB GPRU,LCH,ELE Group,AVIONICS,GCCAIA813,172 / 1610000076412024,Unit received for inspection,PI,Engine Test Cell,05-09-2024,Under Review,
Starter Motor Assembly,ALH,Avionics Group,ELE,HDP0069,173 / 1610000077412024,Unit received for inspection,Acceptance Test,Avionics Rig,12-02-2024,Pending,
Starter Motor Assembly,AMCA,ELE Group,GEN,EPGS208,174 / 1610000078412024,Unit received for inspection,Calibration,IJT EPGS,13-01-2024,OK,27-01-2024
EPGS Controller,LCH,Hydraulics,GEN,AVN376,175 / 1610000079412024,Unit received for inspection,Endurance Test,TEJAS Rig A,29-06-2024,NOT OK,
"5RW GEN, DCMB GPRU",LCH,A/C Division,PNEU,HDP0042,176 / 1610000080412024,Unit received for inspection,Endurance Test,IJT EPGS,29-08-2025,Under Review,
5RW GEN,TEJAS,Quality Assurance,PNEU,EPGS444,177 / 1610000081412024,Unit received for inspection,PI Starter,TEJAS Rig A,06-08-2025,NOT OK,
Hydraulic Pump Unit,AMCA,Hydraulics,ELE,HDP0077,178 / 1610000082412024,Unit received for inspection,Acceptance Test,IJT EPGS,29-12-2024,OK,04-01-2025
"5RW GEN, DCMB GPRU",ALH,Engine Division,GEN,STM876,179 / 1610000083412024,Unit received for inspection,Endurance Test,Engine Test Cell,04-09-2024,OK,12-09-2024
DCMB GPRU,ALH,Hydraulics,PNEU,AVN349,180 / 1610000084412024,Unit received for inspection,Endurance Test,Hydraulic Test Bench,05-04-2024,OK,12-04-2024
